molecule_id,cyp_target,interval,spectrum_index,mean_exponent,std_exponent,minimum_exponent,maximum_exponent
OCNT-0494110,CYP2C9,5,1,0.011791410202693458,1.7903416571790556e-05,0.011778750575429138,0.01180406982995778
OCNT-0494110,CYP2C9,5,2,0.010627781760809592,0.00018693364704599374,0.010495599711351436,0.010759963810267746
OCNT-0494110,CYP2C9,5,3,0.00862799067260885,0.0006696294023284061,0.008154491181340538,0.009101490163877159
OCNT-0494110,CYP2C9,5,4,0.008079180293855931,4.79499210134523e-05,0.008045274579549958,0.008113086008161902
OCNT-0494110,CYP2C9,5,5,0.00489127818024961,5.687426524086902e-05,0.004851062001622789,0.004931494358876431
OCNT-0494110,CYP2C9,5,6,0.0038912026472251674,4.861380817710065e-05,0.003856827493803838,0.003925577800646497
OCNT-0494110,CYP2C9,5,7,0.004117321811873977,0.0003315368296640761,0.0038828898714054192,0.0043517537523425345
OCNT-0494110,CYP2C9,5,8,0.003755214403816573,6.308541129677226e-05,0.0037106062816946827,0.003799822525938463
OCNT-0494110,CYP2C9,10,1,0.011655531838428507,7.322109075889561e-05,0.011603756708627016,0.011707306968229997
OCNT-0494110,CYP2C9,10,2,0.010865508129087055,0.0002815340265702558,0.010666433509764473,0.011064582748409636
OCNT-0494110,CYP2C9,10,3,0.008945092681005132,0.00022164568552797927,0.008788365513747556,0.009101819848262707
OCNT-0494110,CYP2C9,10,4,0.008048147976731757,2.030794688613507e-05,0.008033788089776594,0.008062507863686919
OCNT-0494110,CYP2C9,10,5,0.0052370522080584965,0.0006105459416272344,0.004805331032507952,0.00566877338360904
OCNT-0494110,CYP2C9,10,6,0.004484111313639894,0.00010740060853973687,0.0044081676150378845,0.004560055012241904
OCNT-0494110,CYP2C9,10,7,0.004272447768150795,0.00012556351154051652,0.0041836609576709006,0.00436123457863069
OCNT-0494110,CYP2C9,10,8,0.00414794063430398,0.00019220663563792307,0.004012030018855353,0.0042838512497526075
OCNT-0494110,CYP2C9,20,1,0.011261989321552694,5.016774370562578e-05,0.011226515369781618,0.011297463273323772
OCNT-0494110,CYP2C9,20,2,0.010855656875443,8.375769410148558e-05,0.01079643124196729,0.010914882508918708
OCNT-0494110,CYP2C9,20,3,0.009386448167865599,0.00010390384327604105,0.009312977055693766,0.009459919280037431
OCNT-0494110,CYP2C9,20,4,0.008463611355257073,0.0003269692664882871,0.008232409169683614,0.008694813540830532
OCNT-0494110,CYP2C9,20,5,0.005184771327348098,2.762228342619342e-05,0.00516523942342558,0.005204303231270616
OCNT-0494110,CYP2C9,20,6,0.0041771217111830315,0.00016953940301567407,0.004057239249632329,0.004297004172733734
OCNT-0494110,CYP2C9,20,7,0.0040925362123057155,8.201509833845528e-05,0.004034542780110913,0.004150529644500519
OCNT-0494110,CYP2C9,20,8,0.0039769926313374514,8.56664124910898e-05,0.003916417330145077,0.004037567932529825
OCNT-2328784,CYP1A2,5,1,0.011380856505527052,0.0002512627835984712,0.011203186887384767,0.01155852612366934
OCNT-2328784,CYP1A2,5,2,0.010736873641893546,0.00014803239631587612,0.010632198930623296,0.010841548353163798
OCNT-2328784,CYP1A2,5,3,0.008051268393292873,0.0002938297661757522,0.00784349937311554,0.008259037413470205
OCNT-2328784,CYP1A2,5,4,0.007188690325087304,0.0004700992741210468,0.006856279940525438,0.0075211007096491695
OCNT-2328784,CYP1A2,5,5,0.0057926945734231424,0.0005128831067308797,0.005430031450697714,0.006155357696148571
OCNT-2328784,CYP1A2,5,6,0.004550075786533112,0.00016011770569516548,0.004436855471048028,0.004663296102018195
OCNT-2328784,CYP1A2,5,7,0.004556976881574007,0.0006355268823713373,0.00410759151342289,0.0050063622497251254
OCNT-2328784,CYP1A2,5,8,0.004241718673881589,0.000182926173185925,0.004112370336365316,0.004371067011397861
OCNT-2328784,CYP1A2,10,1,0.011966272177998657,0.0001534941588762767,0.011857735417384717,0.012074808938612597
OCNT-2328784,CYP1A2,10,2,0.010864508768419174,0.0001351863384896126,0.01076891759174939,0.01096009994508896
OCNT-2328784,CYP1A2,10,3,0.007745567196539547,0.00025095814540892374,0.007568112990126897,0.007923021402952196
OCNT-2328784,CYP1A2,10,4,0.007812383172621713,0.0002887075263678491,0.007608236122947413,0.008016530222296012
OCNT-2328784,CYP1A2,10,5,0.005825565154089316,0.000416200331443395,0.005531267077393603,0.00611986323078503
OCNT-2328784,CYP1A2,10,6,0.004879350307015533,0.0002183273740773846,0.004724969540286762,0.005033731073744304
OCNT-2328784,CYP1A2,10,7,0.004584694798023668,0.00047554962939453147,0.004248430430288046,0.004920959165759292
OCNT-2328784,CYP1A2,10,8,0.004430882353104688,4.3706240635436915e-05,0.004399977373971201,0.004461787332238177
OCNT-2328784,CYP1A2,20,1,0.012129978869121597,0.0004001691439483224,0.011847016553814121,0.012412941184429071
OCNT-2328784,CYP1A2,20,2,0.010755278102764644,0.0001421872793065589,0.01065473651336851,0.010855819692160778
OCNT-2328784,CYP1A2,20,3,0.008599238330404858,0.0007883956314228831,0.008041758433167888,0.00915671822764183
OCNT-2328784,CYP1A2,20,4,0.007336826050682572,0.00019500022345868905,0.007198940070342041,0.007474712031023104
OCNT-2328784,CYP1A2,20,5,0.005334319083411943,0.0011665065832068221,0.004509474368127649,0.006159163798696236
OCNT-2328784,CYP1A2,20,6,0.00503193304879683,2.006925110964537e-05,0.005017741945243864,0.005046124152349796
OCNT-2328784,CYP1A2,20,7,0.004820887324945448,1.3363874312447379e-05,0.004811437638796192,0.004830337011094705
OCNT-2328784,CYP1A2,20,8,0.004073339829886134,0.00022778007877972666,0.0039122749915617835,0.004234404668210485
