validation_pair_index,training_index,molecule_id,cyp_index,cyp_target,experimental_pic50,predicted_pic50,late_motion,final_step,late_amplitude,recurrence_ratio,recurrence_lag,recurrence_distance,spectral_entropy,spectral_concentration,selected_for_perturbation,dynamical_classification,selection_reason
921,5,OCNT-0018684,0,CYP1A2,5.783014945,5.077314376831055,0.0037551305732445,0.0010082136141136,0.0005085719749331,0.2005812130437772,2,0.0015064172912389,0.6387425335004331,0.7539246082305908,False,not_selected,periodic_signature
809,30,OCNT-0022254,0,CYP1A2,5.40609378,5.367151737213135,0.0038038091744051,0.0010136525379493,0.0005157184205017,0.2010314044985862,2,0.0015293702017515,0.6382621235926167,0.7539496421813965,False,not_selected,periodic_signature
886,355,OCNT-2308961,0,CYP1A2,5.253674242,5.296278953552246,0.0040241102698014,0.001084421062842,0.0005301089258864,0.1995452057303489,2,0.0016059838235378,0.6583207801058857,0.7452515959739685,False,not_selected,persistent;complex_signature;recurrent
571,543,OCNT-2309468,0,CYP1A2,3.588619277,4.681462287902832,0.0037021662584261,0.0009750208701007,0.0005077429814264,0.2021796327049264,2,0.0014970052288845,0.6345104716792779,0.7550348043441772,False,not_selected,periodic_signature
517,594,OCNT-2309593,0,CYP1A2,4.807199705,5.701144218444824,0.0039689312699006,0.0010716400574892,0.0005232017720118,0.1996712507377572,2,0.0015849629417061,0.6599504237902233,0.7445063591003418,False,not_selected,recurrent
647,614,OCNT-2309630,0,CYP1A2,4.13112114,5.4032087326049805,0.0037647548607306,0.0009839795529842,0.0005171758821234,0.2031118897803489,2,0.0015293329488486,0.6665966542462173,0.7418137192726135,False,not_selected,high_entropy
38,1175,OCNT-2310956,0,CYP1A2,4.399326245,4.7970781326293945,0.0040614483888016,0.001102602109313,0.0005315604503266,0.1990237010858994,2,0.0016166489804163,0.6608256825863538,0.7442061901092529,False,not_selected,persistent;recurrent;complex_signature
892,1604,OCNT-2312009,0,CYP1A2,5.259094682,5.5313639640808105,0.0039866701709793,0.0010663572466,0.0005251341499388,0.2002775071376188,2,0.0015968807274475,0.6616686463998334,0.743729829788208,False,not_selected,persistent;complex_signature
1152,1677,OCNT-2312208,0,CYP1A2,4.35866423,5.600711822509766,0.0040563303055928,0.0010945067042484,0.0005270145484246,0.1994986770438575,2,0.0016184650594368,0.6646780274343647,0.7418895363807678,False,not_selected,persistent;recurrent;complex_signature
129,1683,OCNT-2312222,0,CYP1A2,3.668926313,5.337479114532471,0.0039586243229673,0.0010661947308108,0.0005228276131674,0.1996712387938444,2,0.0015808468451723,0.6609196581375072,0.7446370720863342,False,not_selected,recurrent
