Index,validation_pair_index,training_index,molecule_id,cyp_index,cyp_target,experimental_pic50,predicted_pic50,late_motion,final_step,late_amplitude,recurrence_ratio,recurrence_lag,recurrence_distance,spectral_entropy,spectral_concentration,selected_for_perturbation,dynamical_classification,selection_reason,late_motion_5000,final_step_5000,late_amplitude_5000,recurrence_ratio_5000,recurrence_lag_5000,recurrence_distance_5000,spectral_entropy_5000,spectral_concentration_5000,dominant_period_5000,autocorrelation_peak_5000,autocorrelation_lag_5000,extended_screening_classification,finite_time_local_divergence,perturbation_epsilon,perturbation_fit_generations,perturbation_final_separation,perturbation_maximum_separation
0,921,5,OCNT-0018684,0,CYP1A2,5.783014945,5.077314376831055,0.0037551305732445,0.0010082136141136,0.0005085719749331,0.2005812130437772,2,0.0015064172912389,0.6387425335004331,0.7539246082305908,False,not_selected,periodic_signature,1.67195225776151e-07,1.6719523898700572e-07,8.15985731605906e-06,0.0,2,0.0,0.1167415901528917,0.8105695247650146,2.0005,1.0,2,stable_period_2_candidate,,,,,
1,809,30,OCNT-0022254,0,CYP1A2,5.40609378,5.367151737213135,0.0038038091744051,0.0010136525379493,0.0005157184205017,0.2010314044985862,2,0.0015293702017515,0.6382621235926167,0.7539496421813965,False,not_selected,periodic_signature,1.788139353261719e-07,1.788139343261719e-07,8.140659701894037e-06,0.0,2,0.0,0.1167415744693212,0.8105695843696594,2.0005,1.0,2,stable_period_2_candidate,,,,,
2,886,355,OCNT-2308961,0,CYP1A2,5.253674242,5.296278953552246,0.0040241102698014,0.001084421062842,0.0005301089258864,0.1995452057303489,2,0.0016059838235378,0.6583207801058857,0.7452515959739685,False,not_selected,persistent;complex_signature;recurrent,1.8350351738218857e-07,1.8350353059304325e-07,7.700284186284989e-06,0.0,2,0.0,0.1167415823111064,0.8105695843696594,2.0005,1.0,2,stable_period_2_candidate,,,,,
3,571,543,OCNT-2309468,0,CYP1A2,3.588619277,4.681462287902832,0.0037021662584261,0.0009750208701007,0.0005077429814264,0.2021796327049264,2,0.0014970052288845,0.6345104716792779,0.7550348043441772,False,not_selected,periodic_signature,1.4625422395466706e-07,1.4625422295466708e-07,7.672135325265117e-06,0.0,2,0.0,0.1167415823111064,0.8105694651603699,2.0005,1.0,2,stable_period_2_candidate,,,,,
4,517,594,OCNT-2309593,0,CYP1A2,4.807199705,5.701144218444824,0.0039689312699006,0.0010716400574892,0.0005232017720118,0.1996712507377572,2,0.0015849629417061,0.6599504237902233,0.7445063591003418,False,not_selected,recurrent,1.9382120897217797e-07,1.938211937613233e-07,8.059494575718418e-06,0.0,2,0.0,0.1167415744693212,0.8105695247650146,2.0005,1.0,2,stable_period_2_candidate,,,,,
5,647,614,OCNT-2309630,0,CYP1A2,4.13112114,5.4032087326049805,0.0037647548607306,0.0009839795529842,0.0005171758821234,0.2031118897803489,2,0.0015293329488486,0.6665966542462173,0.7418137192726135,False,not_selected,high_entropy,1.6650432244160737e-07,1.6698041349627601e-07,7.819371603545733e-06,0.0,4,0.0,0.1201600282287202,0.8073282241821289,2.0005,1.0,4,stable_period_4_candidate,-0.1612696300309734,1e-05,1-100,0.0,1.0000699148804417e-05
6,38,1175,OCNT-2310956,0,CYP1A2,4.399326245,4.7970781326293945,0.0040614483888016,0.001102602109313,0.0005315604503266,0.1990237010858994,2,0.0016166489804163,0.6608256825863538,0.7442061901092529,False,not_selected,persistent;recurrent;complex_signature,1.637279335450436e-07,1.637279467558983e-07,7.737401574559044e-06,0.0,2,0.0,0.1167415744693212,0.8105695843696594,2.0005,1.0,2,stable_period_2_candidate,,,,,
7,892,1604,OCNT-2312009,0,CYP1A2,5.259094682,5.5313639640808105,0.0039866701709793,0.0010663572466,0.0005251341499388,0.2002775071376188,2,0.0015968807274475,0.6616686463998334,0.743729829788208,False,not_selected,persistent;complex_signature,1.7401909346927974e-07,1.7401912089098914e-07,7.918062692624517e-06,0.0,2,0.0,0.1167415901528917,0.8105695247650146,2.0005,1.0,2,stable_period_2_candidate,,,,,
8,1152,1677,OCNT-2312208,0,CYP1A2,4.35866423,5.600711822509766,0.0040563303055928,0.0010945067042484,0.0005270145484246,0.1994986770438575,2,0.0016184650594368,0.6646780274343647,0.7418895363807678,False,not_selected,persistent;recurrent;complex_signature,1.672651431813498e-07,1.6726511375964037e-07,7.69073812989518e-06,0.0,2,0.0,0.1167415901528917,0.8105694651603699,2.0005,1.0,2,stable_period_2_candidate,,,,,
9,129,1683,OCNT-2312222,0,CYP1A2,3.668926313,5.337479114532471,0.0039586243229673,0.0010661947308108,0.0005228276131674,0.1996712387938444,2,0.0015808468451723,0.6609196581375072,0.7446370720863342,False,not_selected,recurrent,1.7971477561742325e-07,1.7971476040656853e-07,7.790803465468343e-06,0.0,2,0.0,0.1167415901528917,0.8105695247650146,2.0005,1.0,2,stable_period_2_candidate,-0.2002258997760375,1e-05,1-100,0.0,9.995562322728802e-06
10,924,1816,OCNT-2312559,0,CYP1A2,4.631074257,4.885375022888184,0.0039653447466657,0.0010670906631276,0.000524801085703,0.1997317424512908,2,0.0015840104315429,0.657619506968336,0.7460532188415527,False,not_selected,recurrent,1.7259634532775786e-07,1.7275067420996493e-07,8.128145054797642e-06,0.0,4,0.0,0.120280391790485,0.8071930408477783,2.0005,1.0,4,stable_period_4_candidate,-0.1708277104775755,1e-05,1-100,0.0,9.998975656344555e-06
11,776,2354,OCNT-2314004,0,CYP1A2,4.995842308,5.27506160736084,0.0039250967102812,0.0010495909955352,0.0005244995700195,0.2007087871564493,2,0.0015756028005853,0.6675664565701491,0.7411648035049438,False,not_selected,high_entropy,1.7884950509552408e-07,1.7925167128396424e-07,7.727923730271868e-06,0.0,12,0.0,0.1245438214356644,0.8033542037010193,2.0005,1.0,12,stable_period_12_candidate,-0.1709059048972257,1e-05,1-100,0.0,9.998298992286436e-06
12,542,2387,OCNT-2314070,0,CYP1A2,4.781566355,5.010298728942871,0.003745480441557,0.0009782320121303,0.0005026592407375,0.2030370119477427,2,0.0015209423145279,0.6676762913856724,0.740868330001831,False,not_selected,high_entropy,1.791956388838222e-07,1.7919560946211277e-07,7.97856137069175e-06,0.0,2,0.0,0.1167415744693212,0.8105695247650146,2.0005,1.0,2,stable_period_2_candidate,,,,,
13,814,2656,OCNT-2314750,0,CYP1A2,5.44580044,3.4230096340179443,0.003741156310843,0.0009937087306752,0.0005133119411766,0.2014947867471115,2,0.0015076469862833,0.6235176303804284,0.7586015462875366,False,not_selected,periodic_signature,1.6458874185856226e-07,1.645886982259981e-07,7.870712579460815e-06,0.0,2,0.0,0.1167415901528917,0.8105695843696594,2.0005,1.0,2,stable_period_2_candidate,,,,,
14,560,2694,OCNT-2314859,0,CYP1A2,2.042327302,5.092944145202637,0.0037587352572695,0.0009890883229672,0.0005093523068353,0.202153122711608,2,0.0015196801396086,0.6384203466276306,0.7534825205802917,False,not_selected,periodic_signature,1.497194556118408e-07,1.49542856320295e-07,7.63533989811549e-06,0.0,6,0.0,0.1192769177412808,0.8085319399833679,2.0005,1.0,6,stable_period_6_candidate,,,,,
15,903,2778,OCNT-2315086,0,CYP1A2,4.003649968,4.332056999206543,0.0037423353652225,0.000980878365226,0.000514629529789,0.202914875405876,2,0.0015187510289251,0.6666177558502739,0.7420827150344849,False,not_selected,high_entropy,1.6979876804681377e-07,1.6989937989819737e-07,7.768905561533757e-06,0.0,4,0.0,0.1202615715058908,0.8072143793106079,2.0005,1.0,4,stable_period_4_candidate,-0.2424792440045607,1e-05,1-100,0.0,1.0002850103774108e-05
16,144,2903,OCNT-2315367,0,CYP1A2,4.69477369,5.18678092956543,0.0039901742721663,0.0010637174127623,0.0005296423332765,0.200410580874181,2,0.0015993462875485,0.6597015126868027,0.7446715831756592,False,not_selected,persistent;complex_signature,1.6511579403823965e-07,1.6511576461653021e-07,7.721667316218372e-06,0.0,2,0.0,0.1167415901528917,0.8105694651603699,2.0005,1.0,2,stable_period_2_candidate,,,,,
17,253,2944,OCNT-2315468,0,CYP1A2,5.262218208,5.2385640144348145,0.0039829560565517,0.0010723201557993,0.0005270435358397,0.1995214320963881,2,0.0015893701929599,0.6590327854589005,0.7455970048904419,False,not_selected,recurrent;persistent,1.64965983207832e-07,1.6496601062954144e-07,7.726942385488655e-06,0.0,2,0.0,0.1167415901528917,0.8105695247650146,2.0005,1.0,2,stable_period_2_candidate,,,,,
18,248,3303,OCNT-2316397,0,CYP1A2,2.21808428,3.844813823699951,0.0036280557988898,0.0009499682346358,0.000506387441419,0.2030897267042568,2,0.0014736417215317,0.6395117832700129,0.7532140016555786,False,not_selected,periodic_signature,1.9047343002922538e-07,1.9042282417558456e-07,7.911988177511375e-06,0.0,4,0.0,0.1178331039250703,0.809707760810852,2.0005,1.0,4,stable_period_4_candidate,-0.1710503068264991,1e-05,1-100,0.0,9.997168490372133e-06
