object,molecule_id,cyp_target,predicted_pic50,pdb_file,activity_min,activity_max,states
traj_01_CYP1A2,OCNT-2534899,CYP1A2,3.4997472763061523,trajectories/01_OCNT-2534899_CYP1A2.pdb,0.6360947489738464,2.6702210903167725,18
traj_02_CYP2C9,OCNT-2534899,CYP2C9,3.3989076614379883,trajectories/02_OCNT-2534899_CYP2C9.pdb,0.6554745435714722,2.5585339069366455,18
traj_03_CYP2D6,OCNT-2534899,CYP2D6,4.2201762199401855,trajectories/03_OCNT-2534899_CYP2D6.pdb,0.8125878572463989,2.6202237606048584,18
traj_04_CYP3A4,OCNT-2534899,CYP3A4,2.232943296432495,trajectories/04_OCNT-2534899_CYP3A4.pdb,0.6311467885971069,2.6406686305999756,18
traj_05_CYP1A2,OCNT-2534999,CYP1A2,4.697260856628418,trajectories/05_OCNT-2534999_CYP1A2.pdb,0.9705914855003357,2.6779088973999023,18
traj_06_CYP2C9,OCNT-2534999,CYP2C9,4.688899040222168,trajectories/06_OCNT-2534999_CYP2C9.pdb,0.7977136373519897,2.6399245262145996,18
traj_07_CYP2D6,OCNT-2534999,CYP2D6,4.691675186157227,trajectories/07_OCNT-2534999_CYP2D6.pdb,1.0372744798660278,2.713732957839966,18
traj_08_CYP3A4,OCNT-2534999,CYP3A4,4.591678142547607,trajectories/08_OCNT-2534999_CYP3A4.pdb,0.5741150975227356,2.7237091064453125,18
traj_09_CYP1A2,OCNT-2535005,CYP1A2,4.6939473152160645,trajectories/09_OCNT-2535005_CYP1A2.pdb,0.7038797736167908,2.715603828430176,18
traj_10_CYP2C9,OCNT-2535005,CYP2C9,4.515596866607666,trajectories/10_OCNT-2535005_CYP2C9.pdb,0.7213975191116333,2.673583745956421,18
traj_11_CYP2D6,OCNT-2535005,CYP2D6,4.379945278167725,trajectories/11_OCNT-2535005_CYP2D6.pdb,0.8466136455535889,2.6302194595336914,18
traj_12_CYP3A4,OCNT-2535005,CYP3A4,3.8789751529693604,trajectories/12_OCNT-2535005_CYP3A4.pdb,0.6563079953193665,2.710415840148926,18
traj_13_CYP1A2,OCNT-2535212,CYP1A2,5.2183332443237305,trajectories/13_OCNT-2535212_CYP1A2.pdb,0.7038797736167908,2.7380974292755127,18
traj_14_CYP2C9,OCNT-2535212,CYP2C9,5.069979190826416,trajectories/14_OCNT-2535212_CYP2C9.pdb,0.7213975191116333,2.698450803756714,18
traj_15_CYP2D6,OCNT-2535212,CYP2D6,4.500527858734131,trajectories/15_OCNT-2535212_CYP2D6.pdb,0.8466136455535889,2.584296703338623,18
traj_16_CYP3A4,OCNT-2535212,CYP3A4,4.772444248199463,trajectories/16_OCNT-2535212_CYP3A4.pdb,0.6563079953193665,2.714271068572998,18
traj_17_CYP1A2,OCNT-2535689,CYP1A2,5.65620231628418,trajectories/17_OCNT-2535689_CYP1A2.pdb,0.9689799547195435,2.718850612640381,18
traj_18_CYP2C9,OCNT-2535689,CYP2C9,5.518139362335205,trajectories/18_OCNT-2535689_CYP2C9.pdb,0.9223189949989319,2.7126035690307617,18
traj_19_CYP2D6,OCNT-2535689,CYP2D6,5.198171138763428,trajectories/19_OCNT-2535689_CYP2D6.pdb,0.8574623465538025,2.689270496368408,18
traj_20_CYP3A4,OCNT-2535689,CYP3A4,5.643415927886963,trajectories/20_OCNT-2535689_CYP3A4.pdb,0.770821750164032,2.7415406703948975,18
