epoch,train_rmse,validation_rmse,validation_ma_st_rae,validation_CYP1A2_st_rae,validation_CYP2C9_st_rae,validation_CYP2D6_st_rae,validation_CYP3A4_st_rae,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.1763308856130177,0.9038643836975098,0.8442119849285806,0.8934359178895667,0.8047470348074711,1.0156485114172467,0.6630164756000377,8.594696798632222,1.0
2,1.0882092289059409,0.8957208395004272,0.8386503930466344,0.8827522537377213,0.8126178548197059,1.001022597535432,0.6582088660936781,6.338981666872578,0.9838709677419355
3,1.1234699612027361,0.8903797268867493,0.8265414601285044,0.8580747985300741,0.7504641512772502,1.029467446343974,0.668159444362719,6.750363013436718,0.9516129032258065
4,1.1067870925339123,0.8888029456138611,0.8210161093483781,0.8442981475208495,0.7698664323314072,1.0054015417462168,0.6644983157950389,5.92032951501108,0.9838709677419355
5,1.059901892017647,0.8910064697265625,0.8313722797158994,0.848956193678508,0.8028790082683178,1.0135969981000446,0.660056918816727,4.231535832728109,0.8870967741935484
6,1.0437534310674368,0.8917905688285828,0.8335554258603144,0.847638658470016,0.8398312875798345,0.9954554267545362,0.6512963306368709,3.936627576428075,0.8870967741935484
7,1.0376271642069197,0.8875855207443237,0.8213392156309562,0.8579537540221186,0.8035471247945098,0.9803380287011935,0.6435179550060027,4.362389016535975,0.9193548387096774
8,1.073113041105651,0.8849517107009888,0.8189633036942242,0.8618963811898288,0.8084706585053676,0.9761413623397707,0.62934481274193,8.223765752007884,0.967741935483871
9,0.9813087110546301,0.883392333984375,0.8105525720655906,0.8497513864214676,0.7852907083271555,0.9745606866521597,0.6326075068615794,4.335636982994695,0.9354838709677419
10,0.9769051440713702,0.8760981559753418,0.8015772009725173,0.8467996051231083,0.7740505124462065,0.970161468630679,0.6152972176900755,3.743426684410341,0.8548387096774194
11,0.9501599409108759,0.877090573310852,0.8003716806080955,0.8511853029858849,0.7758432640906758,0.9653403418421019,0.6091178135137193,3.548520582337533,0.7419354838709677
12,0.9707874766576123,0.8760590553283691,0.8083647444741072,0.8518922257235686,0.8002030838747154,0.974410102425171,0.6069535658729738,3.5800151228904724,0.967741935483871
13,0.972197937750902,0.8767134547233582,0.8134696330465265,0.8623295284894547,0.8143160778655616,0.971235377913261,0.6059975479178288,3.8196173694825943,0.8870967741935484
14,0.9647573518637051,0.8754866123199463,0.8128893117373711,0.8568816446370568,0.8125376703879712,0.9750452737972496,0.6070926581272068,4.2320827457212635,0.9193548387096774
15,0.9631139733796245,0.8751527070999146,0.809088994190291,0.8581809559491383,0.8040625659420778,0.9725806965601909,0.6015317583097566,4.1232258023754245,0.9193548387096774
