validation_pair_index,training_index,molecule_id,cyp_index,cyp_target,experimental_pic50,predicted_pic50,late_motion,final_step,late_amplitude,recurrence_ratio,recurrence_lag,recurrence_distance,spectral_entropy,spectral_concentration,selected_for_perturbation,dynamical_classification,dynamic_score
34,3917,OCNT-2318002,0,CYP1A2,5.308471928,5.023080825805664,0.2091191411028371,0.0819775462150573,0.1981766670942306,0.6111091115988782,11,1.405740737915039,0.4981553477075102,0.5991021394729614,False,not_selected,0.5126628839349676
592,2542,OCNT-2314462,0,CYP1A2,5.02937702,5.741384029388428,0.2099532783041463,0.1255483329296112,0.2047495245933532,0.6058246464610397,11,1.3991435766220093,0.4534594975918844,0.6423627138137817,False,not_selected,0.5037077777939795
1096,3907,OCNT-2317983,0,CYP1A2,5.537184468,5.352185249328613,0.1992105096588598,0.0355210825800895,0.1883242279291153,0.5930186615536984,11,1.299491047859192,0.4870524621735909,0.6086193323135376,False,not_selected,0.4995398932352803
1297,2754,OCNT-2315030,0,CYP1A2,1.999050187,5.135444641113281,0.2438761591921316,0.1047359183430671,0.2592505216598511,0.7160570533660217,11,1.9209216833114624,0.466638087925814,0.6292839646339417,False,not_selected,0.4995105657110365
942,1589,OCNT-2311975,0,CYP1A2,5.7417475,5.3202104568481445,0.2129347175369726,0.2910825312137604,0.207108587026596,0.6258895907061329,11,1.4660098552703855,0.4656339322847755,0.6285070776939392,False,not_selected,0.49862524000689223
1152,1677,OCNT-2312208,0,CYP1A2,4.35866423,5.706545829772949,0.2036112844954,0.2104368954896927,0.2085079401731491,0.6409828866859822,11,1.4356248378753662,0.4703740603324345,0.6338896751403809,False,not_selected,0.4670713638875549
1223,868,OCNT-2310298,0,CYP1A2,6.93558928,5.803361415863037,0.2313804626474843,0.2317871302366256,0.2585181593894958,0.7344060764647893,11,1.8691993951797483,0.4672967774477752,0.6340965032577515,False,not_selected,0.4622834942233847
925,2521,OCNT-2314408,0,CYP1A2,5.046927207,5.588298320770264,0.2112749814997182,0.1816498190164566,0.2167205214500427,0.6750901869658775,11,1.5689263343811035,0.4629953522855997,0.6407499313354492,False,not_selected,0.45785633083707816
341,1709,OCNT-2312299,0,CYP1A2,5.178202748,5.614034175872803,0.2062699794779287,0.2251902967691421,0.2145659923553466,0.6825032897227454,11,1.5485793352127075,0.4617376213261051,0.6431457996368408,False,not_selected,0.44177455800328236
1003,3926,OCNT-2318024,0,CYP1A2,4.42591923,4.591312885284424,0.1718456745157705,0.1644766926765442,0.1573320478200912,0.5830101848950118,11,1.1020655632019043,0.495514645469295,0.6114939451217651,False,not_selected,0.4408117210596663
1256,1716,OCNT-2312312,0,CYP1A2,5.232058398,4.761287212371826,0.1885658800611959,0.1716264933347702,0.1902711540460586,0.6388602803339406,11,1.3251397609710691,0.4898660822183329,0.616295576095581,False,not_selected,0.43974859232127583
755,693,OCNT-2309846,0,CYP1A2,5.503999183,4.6391282081604,0.1965053379545675,0.2224926799535751,0.1930301785469055,0.651496504023172,11,1.408247947692871,0.4474804621194581,0.6618122458457947,False,not_selected,0.436591195248073
903,2778,OCNT-2315086,0,CYP1A2,4.003649968,4.428077697753906,0.2071988582621084,0.127696081995964,0.2172951102256775,0.6936268287199198,11,1.580905556678772,0.4601562109559998,0.6342867612838745,False,not_selected,0.4361750256297734
510,1210,OCNT-2311030,0,CYP1A2,5.26911858,4.702818393707275,0.1889590322981344,0.1331159621477127,0.185460090637207,0.6531275142162307,11,1.357557773590088,0.4777020220765419,0.6273210048675537,False,not_selected,0.42752010601123874
576,2405,OCNT-2314135,0,CYP1A2,4.879882067,4.947797775268555,0.1888486742983327,0.2187360376119613,0.1893450170755386,0.6465083042051744,11,1.3430145978927612,0.4603299782627689,0.6447949409484863,False,not_selected,0.4265705152420062
780,1670,OCNT-2312174,0,CYP1A2,5.44967587,5.372893333435059,0.2054901123056875,0.1075267419219017,0.2268315702676773,0.7230025035908072,11,1.6342685222625732,0.4650038577199661,0.635205090045929,False,not_selected,0.4163800343097027
81,4000,OCNT-2318236,0,CYP1A2,6.25668999,5.101085186004639,0.1488822698603139,0.181687906384468,0.133395567536354,0.5302252173029189,11,0.868352472782135,0.4744296319284545,0.6180551648139954,False,not_selected,0.4140060170420095
624,3462,OCNT-2316836,0,CYP1A2,4.935100625,4.955852031707764,0.1929035484800802,0.1735952347517013,0.1991655081510543,0.6842664314807925,11,1.4519716501235962,0.4596911967403559,0.641927182674408,False,not_selected,0.4115058091144334
718,653,OCNT-2309734,0,CYP1A2,5.255905082,4.640953063964844,0.1823113858709798,0.1444839835166931,0.177210584282875,0.6659593001421491,11,1.3355315923690796,0.4912321914714857,0.6144146919250488,False,not_selected,0.40823607001892526
952,1635,OCNT-2312078,0,CYP1A2,5.722540748,5.258770942687988,0.1740370690832601,0.1873324811458587,0.1740021854639053,0.6286180373177751,11,1.203431248664856,0.471776100523473,0.6228868365287781,False,not_selected,0.4074709659538623
983,2751,OCNT-2315016,0,CYP1A2,6.212632232,5.075299739837647,0.1954771280298696,0.2099830657243728,0.2092299163341522,0.7025803501104596,11,1.510722279548645,0.4591651787332944,0.641614556312561,False,not_selected,0.40597978354380587
20,480,OCNT-2309302,0,CYP1A2,6.495533205,5.4181413650512695,0.1871030628691183,0.0359646119177341,0.1983911544084549,0.6810260026867232,11,1.4016425609588623,0.464905890758854,0.6286225318908691,False,not_selected,0.40246389696529433
615,2118,OCNT-2313365,0,CYP1A2,5.89035038,5.02409553527832,0.1826174408207403,0.1536223739385604,0.1887775659561157,0.6659121550837948,11,1.3376789093017578,0.4520314871808066,0.6557943820953369,False,not_selected,0.39820008113040883
502,637,OCNT-2309695,0,CYP1A2,4.387167883,5.351189613342285,0.1928644925365911,0.1324204355478286,0.2163386642932891,0.7215406486203924,11,1.5307552814483645,0.466158318136172,0.6357150077819824,False,not_selected,0.3918973664842019
1022,1418,OCNT-2311582,0,CYP1A2,4.553127107,4.8604254722595215,0.1719061434278951,0.366429716348648,0.1693766713142395,0.6463431095989465,11,1.222213864326477,0.4694151818114646,0.6429344415664673,False,not_selected,0.39081641507147263
