epoch,train_rmse,validation_rmse,validation_ma_st_rae,validation_CYP1A2_st_rae,validation_CYP2C9_st_rae,validation_CYP2D6_st_rae,validation_CYP3A4_st_rae,mean_raw_gradient_norm,fraction_gradients_clipped
1,453.36901372264265,0.9452637818869928,0.8319202594379342,0.9867042703464983,0.7445514154418945,0.9192417494592305,0.6771836025041135,42785643.13477646,1.0
2,1.0774405620511198,0.8535674907391416,0.8120840925238413,0.8921061897478431,0.7464919055272382,0.9296304805493959,0.6801077942708881,76.34025672912598,1.0
3,123.1310380962943,18.33112287180146,4.420958416026771,0.9366659243725053,15.14217340773367,0.9275127554496004,0.6774815765513033,15363309.654735528,1.0
4,1.0447514908465767,17.37757769541601,3.2068667489785803,0.8345909232957581,10.397936032472643,0.9250030538213491,0.6699369863245709,71.23477058410644,1.0
5,1.0497049259463787,21.097452462802025,3.7272454127472363,0.8248008661581828,12.484522000196101,0.9278296263308988,0.6718291583037624,60.676117706298825,1.0
6,1.0735985088089166,0.816627602470126,0.79361541765136,0.8292289825520206,0.7480674012447004,0.930185024065297,0.6669802627434219,478.67362091064456,1.0
7,66.98797661793151,0.8255734114444004,0.8003195892857722,0.8398876682097911,0.7582430315303306,0.9310215096809894,0.6721261477219778,33897519.30410446,1.0
8,2.4121643668398334,0.8215346429331686,0.7951883211563577,0.8410611041967904,0.7433002767782244,0.9293521342861492,0.6670397693642667,1998.895783061981,1.0
9,1.1425829932123897,0.8227758350127173,0.7954529034308501,0.8451264851228378,0.7403879656583339,0.930220390844207,0.6660767720980214,298.5409895324707,1.0
10,79.93551283460216,0.8286257359288812,0.8039056121177908,0.842508357860139,0.7730485397514617,0.9304268178488556,0.6696387330107069,2531857.7716592024,1.0
