split,fold,molecule_id,cyp_target,experimental_pic50,credible_interval_low,credible_interval_high,base_prediction,residual_target
development_oof,0,OCNT-0022119,CYP1A2,5.40955026,5.2874675,5.5361805,4.833717306666666,0.5758329533333333
development_oof,0,OCNT-0022119,CYP2D6,6.170296065,6.051533,6.288086,5.185565546666667,0.9847305183333326
development_oof,0,OCNT-0022139,CYP2D6,4.698939887,4.572345,4.86590525,4.81249302,-0.11355313299999992
development_oof,0,OCNT-0022237,CYP2D6,5.05540735,4.92113575,5.1646855,5.224495166666666,-0.16908781666666606
development_oof,0,OCNT-0022246,CYP1A2,5.40455451,5.2970825,5.51208,4.9464701,0.45808440999999966
development_oof,0,OCNT-0022246,CYP2D6,5.58116284,5.479809,5.68949425,5.04021526,0.5409475800000001
development_oof,0,OCNT-0022246,CYP3A4,4.831211795,4.7479685,4.92662125,4.734687060000001,0.09652473499999914
development_oof,0,OCNT-0022268,CYP1A2,5.477508187,5.407097,5.550604,5.0144216,0.4630865869999994
development_oof,0,OCNT-0022268,CYP2D6,6.068059857,5.97585,6.16919025,5.27347286,0.7945869969999997
development_oof,0,OCNT-0022269,CYP1A2,4.861767925,4.7202285,4.974073,4.624576813333333,0.2371911116666663
development_oof,0,OCNT-0022269,CYP2D6,5.655250823,5.54252775,5.77266725,4.949203033333333,0.706047789666667
development_oof,0,OCNT-0022288,CYP1A2,5.388658353,5.287896,5.481964,4.776872646666667,0.6117857063333334
development_oof,0,OCNT-0022288,CYP2C9,4.649319785,4.505379,4.811595,4.54418224,0.10513754500000072
development_oof,0,OCNT-0022288,CYP2D6,5.73767089,5.60407975,5.87199325,4.9648097799999995,0.7728611100000009
development_oof,0,OCNT-0022297,CYP2D6,4.35820127,4.268018,4.46033625,5.063828293333334,-0.7056270233333333
development_oof,0,OCNT-0022303,CYP2D6,5.206108255,5.14202475,5.272021,4.845752806666667,0.36035544833333333
development_oof,0,OCNT-0022315,CYP2C9,4.881786123,4.69270775,5.0439625,4.963494046666666,-0.08170792366666557
development_oof,0,OCNT-0022315,CYP2D6,5.916376775,5.83491875,6.005434,5.155606813333334,0.7607699616666661
development_oof,0,OCNT-0022315,CYP3A4,5.245942598,5.15840525,5.33831075,4.988974446666667,0.25696815133333306
development_oof,0,OCNT-0381046,CYP1A2,5.753405707,5.65351275,5.8505955,4.9422071333333335,0.8111985736666663
development_oof,0,OCNT-0381046,CYP2D6,6.27227232,6.209247,6.3371915,4.9595614,1.3127109199999998
development_oof,0,OCNT-0476578,CYP1A2,5.62699618,5.56661825,5.6916005,5.767780780000001,-0.14078460000000081
development_oof,0,OCNT-0476578,CYP2D6,4.493955152,4.441906,4.57435475,5.225216426666667,-0.7312612746666671
development_oof,0,OCNT-0477348,CYP2D6,5.106191628,5.015885,5.1874785,5.3608099933333335,-0.25461836533333315
development_oof,0,OCNT-0478484,CYP2D6,4.793473192,4.632995,4.965686,5.4303566666666665,-0.6368834746666661
development_oof,0,OCNT-0481618,CYP3A4,2.27532321,1.06651425,3.55973175,4.7741921666666665,-2.4988689566666666
development_oof,0,OCNT-0483505,CYP1A2,6.692482703,6.60832,6.78367025,5.551244013333333,1.1412386896666664
development_oof,0,OCNT-0483505,CYP2D6,4.495205617,4.3844155,4.64600475,4.55849368,-0.0632880629999999
development_oof,0,OCNT-0492977,CYP3A4,4.70326415,4.61303725,4.8229005,4.109950133333333,0.5933140166666666
development_oof,0,OCNT-0494023,CYP2D6,4.17417411,3.68914675,4.3734675,5.01464056,-0.8404664500000001
development_oof,0,OCNT-0494023,CYP3A4,4.841854462,4.77511725,4.9205715,4.720235099999999,0.12161936200000056
development_oof,0,OCNT-0495303,CYP1A2,2.099860792,1.05781625,3.472813,5.176285040000001,-3.076424248000001
development_oof,0,OCNT-0495682,CYP1A2,5.616129457,5.50979875,5.714821,6.022478313333333,-0.4063488563333326
development_oof,0,OCNT-0496415,CYP2D6,4.258582557,4.09972975,4.37883175,4.684001366666666,-0.4254188096666658
development_oof,0,OCNT-0498067,CYP2D6,4.252101198,2.84772375,4.473326,4.60300982,-0.3509086219999995
development_oof,0,OCNT-0498121,CYP2C9,4.04949926,3.61248425,4.40701175,5.02194332,-0.9724440599999999
development_oof,0,OCNT-0498121,CYP3A4,2.103773238,1.0573975,3.21548225,4.499106013333334,-2.3953327753333338
