epoch,train_rmse,validation_rmse,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.3036344660986963,0.8963639736175537,26.610457681840465,1.0
2,1.2222373660392587,0.9026819467544556,14.54416113515054,1.0
3,1.154029963311475,0.9094451069831848,9.080184467377201,1.0
4,1.1160199602550593,0.8942050337791443,6.298051868715594,1.0
5,1.1118124392984818,0.8894243836402893,6.471451497847034,1.0
6,1.0732591392915924,0.8889021277427673,4.458216001910548,1.0
7,1.0306748448356449,0.8864981532096863,4.0911517720068655,1.0
8,1.002494871753618,0.8854259848594666,3.528551436239673,1.0
9,0.9726440754571268,0.8840537667274475,4.469941677585725,1.0
10,1.0509108869648722,0.8840940594673157,4.653290825505411,1.0
