epoch,train_rmse,validation_rmse,mean_raw_gradient_norm,fraction_gradients_clipped
1,4.4684974367215435,4.058693420571265,11.664620700635409,1.0
2,3.7217406723282704,3.1619788206477804,11.30045075165598,1.0
3,2.7339174509177258,2.1361141863101776,9.097323944694118,1.0
4,1.7336121093027101,1.2580611893325826,5.132245245732759,1.0
5,1.1031909756182312,1.1282264858011724,1.3982355889717215,0.631578947368421
6,1.0605229547888662,1.1047054999432822,0.9883735528902003,0.39473684210526316
7,1.0431033737161903,1.0875008738414518,1.2050572496495748,0.5789473684210527
8,1.0064461871362602,1.0859943937949375,1.0131734954683405,0.4473684210526316
9,0.9944299798724816,1.0874217093398595,0.958553203430615,0.3684210526315789
10,0.9973759650910321,1.0873841342938606,1.3555242262388532,0.5789473684210527
