molecule_id,cyp_target,epsilon,fit_generations,finite_time_lyapunov,final_separation,maximum_separation
OCNT-2534950,CYP2C9,1e-05,1-30,-0.058452784398506416,0.0,1.0010113328462467e-05
OCNT-2534896,CYP1A2,1e-05,1-30,-0.059041407710983436,0.0,9.998560926760547e-06
OCNT-0010024,CYP3A4,1e-05,1-30,-0.006629442757573631,0.0,9.992695595428813e-06
OCNT-2535370,CYP2D6,1e-05,1-30,-0.08065252904764668,0.0,1.0001541340898257e-05
OCNT-2534950,CYP3A4,1e-05,1-30,-0.0936039595503165,0.0,1.00150036814739e-05
OCNT-2535357,CYP1A2,1e-05,1-30,-0.08232035733701387,0.0,9.985699762182776e-06
OCNT-0493952,CYP2D6,1e-05,1-30,-0.019618983614829277,0.0,9.994390893552918e-06
OCNT-2535358,CYP2D6,1e-05,1-30,-0.05608824390391751,0.0,9.99265284917783e-06
OCNT-2534951,CYP2C9,1e-05,1-30,-0.06454402423143651,0.0,1.0015271072916221e-05
OCNT-2535695,CYP1A2,1e-05,1-30,-0.09208532831692721,0.0,1.0010303412855137e-05
OCNT-2308485,CYP2D6,1e-05,1-30,-0.0417035353992619,0.0,1.001695818558801e-05
OCNT-2535357,CYP2D6,1e-05,1-30,-0.03881626257111418,0.0,1.0025513802247588e-05
OCNT-2534951,CYP3A4,1e-05,1-30,-0.06747384559988841,0.0,9.99076019070344e-06
OCNT-2535321,CYP1A2,1e-05,1-30,-0.1179310156121535,0.0,1.003477427730104e-05
OCNT-2461740,CYP2D6,1e-05,1-30,-0.028379484497267616,0.0,1.000183510768693e-05
OCNT-2535578,CYP1A2,1e-05,1-30,-0.04946005370579784,6.182186211844964e-07,9.988150850404054e-06
OCNT-2534972,CYP2C9,1e-05,1-30,-0.07698056673314069,0.0,1.0010706319008023e-05
OCNT-2535705,CYP1A2,1e-05,1-30,-0.09103872073571857,0.0,1.0007905075326562e-05
OCNT-2534775,CYP2D6,1e-05,1-30,-0.01634369764365131,0.0,9.990392754843924e-06
OCNT-2535356,CYP2D6,1e-05,1-30,-0.06661554864039011,4.214684778958144e-08,1.00119259514031e-05
