object,molecule_id,cyp_target,predicted_pic50,pdb_file,activity_min,activity_max,states,selection_reason
traj_01_CYP2C9,OCNT-2534950,CYP2C9,4.756942272186279,trajectories/01_OCNT-2534950_CYP2C9.pdb,0.5229952931404114,1.704345464706421,502,recurrence
traj_02_CYP1A2,OCNT-2534896,CYP1A2,4.868565082550049,trajectories/02_OCNT-2534896_CYP1A2.pdb,0.4653782844543457,1.704345464706421,502,spectral
traj_03_CYP3A4,OCNT-0010024,CYP3A4,3.251270055770874,trajectories/03_OCNT-0010024_CYP3A4.pdb,0.5298885107040405,1.704345464706421,502,curved
traj_04_CYP2D6,OCNT-2535370,CYP2D6,4.392202377319336,trajectories/04_OCNT-2535370_CYP2D6.pdb,0.5298885107040405,1.704345464706421,502,persistent
traj_05_CYP3A4,OCNT-2534950,CYP3A4,4.657566070556641,trajectories/05_OCNT-2534950_CYP3A4.pdb,0.5591766834259033,1.704345464706421,502,recurrence
traj_06_CYP1A2,OCNT-2535357,CYP1A2,4.301528453826904,trajectories/06_OCNT-2535357_CYP1A2.pdb,0.451986163854599,1.704345464706421,502,spectral
traj_07_CYP2D6,OCNT-0493952,CYP2D6,4.806386947631836,trajectories/07_OCNT-0493952_CYP2D6.pdb,0.5298885107040405,1.9835264682769775,502,curved
traj_08_CYP2D6,OCNT-2535358,CYP2D6,4.437936782836914,trajectories/08_OCNT-2535358_CYP2D6.pdb,0.5298885107040405,1.704345464706421,502,persistent
traj_09_CYP2C9,OCNT-2534951,CYP2C9,4.784741401672363,trajectories/09_OCNT-2534951_CYP2C9.pdb,0.5229952931404114,1.704345464706421,502,recurrence
traj_10_CYP1A2,OCNT-2535695,CYP1A2,4.928436279296875,trajectories/10_OCNT-2535695_CYP1A2.pdb,0.4519859552383423,1.704345464706421,502,spectral
traj_11_CYP2D6,OCNT-2308485,CYP2D6,4.843319892883301,trajectories/11_OCNT-2308485_CYP2D6.pdb,0.5298885107040405,1.704345464706421,502,curved
traj_12_CYP2D6,OCNT-2535357,CYP2D6,4.488140106201172,trajectories/12_OCNT-2535357_CYP2D6.pdb,0.5298885107040405,1.704345464706421,502,persistent
traj_13_CYP3A4,OCNT-2534951,CYP3A4,4.691159725189209,trajectories/13_OCNT-2534951_CYP3A4.pdb,0.5591766834259033,1.704345464706421,502,recurrence
traj_14_CYP1A2,OCNT-2535321,CYP1A2,5.034421920776367,trajectories/14_OCNT-2535321_CYP1A2.pdb,0.4265293478965759,1.704345464706421,502,spectral
traj_15_CYP2D6,OCNT-2461740,CYP2D6,4.721735000610352,trajectories/15_OCNT-2461740_CYP2D6.pdb,0.5298885107040405,1.704345464706421,502,curved
traj_16_CYP1A2,OCNT-2535578,CYP1A2,3.848266363143921,trajectories/16_OCNT-2535578_CYP1A2.pdb,0.45215171575546265,1.409285545349121,502,persistent
traj_17_CYP2C9,OCNT-2534972,CYP2C9,4.916950225830078,trajectories/17_OCNT-2534972_CYP2C9.pdb,0.5229952931404114,1.704345464706421,502,recurrence
traj_18_CYP1A2,OCNT-2535705,CYP1A2,4.926966667175293,trajectories/18_OCNT-2535705_CYP1A2.pdb,0.45206937193870544,1.9835264682769775,502,spectral
traj_19_CYP2D6,OCNT-2534775,CYP2D6,4.859678268432617,trajectories/19_OCNT-2534775_CYP2D6.pdb,0.5298885107040405,1.704345464706421,502,curved
traj_20_CYP2D6,OCNT-2535356,CYP2D6,4.567948818206787,trajectories/20_OCNT-2535356_CYP2D6.pdb,0.5298885107040405,1.704345464706421,502,persistent
