molecule_id,smiles,scaffold,heavy_atoms,bonds,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,rings,aromatic_rings,fraction_csp3,aromatic_atom_fraction,heteroatom_fraction,formal_charge,cyclomatic_number,graph_density,degree_mean,degree_variance,adjacency_spectral_radius,algebraic_connectivity,laplacian_largest,graph_diameter,mean_shortest_path,single_bonds,double_bonds,triple_bonds,aromatic_bonds,ring_bonds,conjugated_bonds,radius_of_gyration_3d,asphericity_3d,eccentricity_3d,inertial_shape_factor_3d,spherocity_index_3d,cyp_target,mean_lyapunov,std_lyapunov,minimum_lyapunov,maximum_lyapunov,positive_repeat_fraction,positive_block_fraction,short_dynamic_score,measured_pic50,measured_pic50_conf_low,measured_pic50_conf_high,measured_pic50_std
OCNT-2318002,c1ccc(Cc2nccc(N3CCN(c4ccccc4)CC3)n2)cc1,c1ccc(Cc2nccc(N3CCN(c4ccccc4)CC3)n2)cc1,25,28,330.43500000000006,3.394000000000002,32.260000000000005,0,4,4,4,3,0.238095238095238,0.72,0.16,0,4,0.0933333333333333,2.24,0.1823999999999999,2.369473246824313,0.0362603045637815,4.952416160079408,15.0,5.68,10,0,0,18,24,20,4.133842701679408,0.4090930413376901,0.964889800778526,0.0006345621383911,0.274335596288823,CYP1A2,0.0119288773275911,0.0001195580698549,0.0118093192577362,0.0120484353974461,1.0,0.9875,0.5126628839349676,5.308471928,5.21717625,5.389643,0.04410863423
OCNT-2314462,Cc1cc(Br)cc(S(=O)(=O)Nc2cccc3cc[nH]c23)c1,O=S(=O)(Nc1cccc2cc[nH]c12)c1ccccc1,21,23,365.25200000000007,4.039620000000001,61.96,2,2,3,3,3,0.0666666666666666,0.7142857142857143,0.2857142857142857,0,3,0.1095238095238095,2.1904761904761907,0.6303854875283449,2.4438130194759644,0.0540435619408835,5.41231852211047,9.0,4.29047619047619,5,2,0,16,16,17,3.2980268299586077,0.1829709938255571,0.8925257186717108,0.0005568918171535,0.754829302518624,CYP1A2,0.0109515744261443,0.0001759273000061,0.0107756471261382,0.0111275017261505,1.0,0.975,0.5037077777939795,5.02937702,4.843191,5.216357,0.09729167474
OCNT-2317983,CC(Oc1ccccc1)c1nc(-c2ccccc2OC(F)(F)F)no1,c1ccc(OCc2nc(-c3ccccc3)no2)cc1,25,27,350.296,4.7752000000000026,57.38,0,5,5,3,3,0.1764705882352941,0.68,0.32,0,3,0.09,2.16,0.5344000000000001,2.4151853281840765,0.0352529645277449,5.186423283921587,13.0,5.39,10,0,0,17,17,20,4.05041701229269,0.5517103746084245,0.9833822026317602,0.0008420178336725,0.0670548248028517,CYP1A2,0.0115993022918701,0.0002150554209947,0.0113842468708753,0.0118143577128648,1.0,0.9525,0.4995398932352803,5.537184468,5.46115875,5.61480175,0.03815033636
OCNT-2315030,O=C(Nc1cccc2cccnc12)c1ccc(-c2ccccn2)[nH]c1=O,O=C(Nc1cccc2cccnc12)c1ccc(-c2ccccn2)[nH]c1=O,26,29,342.358,3.237400000000002,87.74000000000001,2,4,3,4,4,0.0,0.8461538461538461,0.2307692307692307,0,4,0.0892307692307692,2.230769230769231,0.3313609467455621,2.411099356385648,0.0345904470161717,5.086218319272137,14.0,5.483076923076923,4,2,0,23,23,29,4.563654164771365,0.6834758608301557,0.9927885065455634,0.0010296585400947,1.1057007270785746e-09,CYP1A2,0.0124576427042484,0.0003184480592608,0.0121391946449875,0.0127760907635092,1.0,0.985,0.4995105657110365,1.999050187,1.04638875,3.35540025,0.655565238
OCNT-2311975,CSc1ccc(OCCOC(=O)c2cncc3ccccc23)cc1,O=C(OCCOc1ccccc1)c1cncc2ccccc12,24,26,339.416,4.192500000000003,48.42,0,5,6,3,3,0.1578947368421052,0.6666666666666666,0.2083333333333333,0,3,0.0942028985507246,2.1666666666666665,0.3055555555555555,2.3966258659181934,0.0285473885239675,5.105470297782368,15.0,5.826086956521739,8,1,0,17,17,21,4.704878310629516,0.658118134090007,0.9911006434604572,0.0010366237645564,0.2084108938860343,CYP1A2,0.0130596156232059,0.0016203629784286,0.0114392526447772,0.0146799786016345,1.0,0.9825,0.4986252400068922,5.7417475,5.67334175,5.80961525,0.03485009826
OCNT-2312208,Cn1ccnc1Cn1cc(-c2ccc3cnccc3c2)nn1,c1cc2cc(-c3cn(Cc4ncc[nH]4)nn3)ccc2cn1,22,25,290.33000000000004,2.2751,61.42,0,4,3,4,4,0.125,0.9090909090909092,0.2727272727272727,0,4,0.1082251082251082,2.272727272727273,0.2892561983471075,2.4135827961752803,0.0460243644130996,4.990289229664763,12.0,4.9393939393939394,4,0,0,21,21,22,4.072075550078488,0.599829398389636,0.9874378200070318,0.001239043584127,0.1599597980272218,CYP1A2,0.0111903576180338,0.0002776477485895,0.0109127098694443,0.0114680053666234,1.0,0.98,0.4670713638875549,4.35866423,4.0743715,4.79185575,0.1783119221
OCNT-2310298,O=C(Nc1cccc(-c2nc3ccccc3s2)c1)c1ccncc1F,O=C(Nc1cccc(-c2nc3ccccc3s2)c1)c1ccncc1,25,28,349.39000000000004,4.7497000000000025,54.88,1,4,3,4,4,0.0,0.84,0.24,0,4,0.0933333333333333,2.24,0.3424,2.4300722356686983,0.0353566660793556,4.983050456015091,13.0,5.35,5,1,0,22,22,27,4.551820316680621,0.6181114060829938,0.9887301061155456,0.0007845833133712,1.1849354581485987e-09,CYP1A2,0.0115413502790033,0.0001327288337051,0.0114086214452981,0.0116740791127085,1.0,0.975,0.4622834942233847,6.93558928,6.84333925,7.02372025,0.04622970237
OCNT-2314408,O=C(Nc1cn[nH]c1)c1cc2ccccc2n1Cc1ccncc1,O=C(Nc1cn[nH]c1)c1cc2ccccc2n1Cc1ccncc1,24,27,317.35200000000003,3.0600000000000014,75.6,2,3,4,4,4,0.0555555555555555,0.8333333333333334,0.25,0,4,0.0978260869565217,2.25,0.2708333333333333,2.4862006851013603,0.0495245640665197,5.082124926006124,11.0,4.782608695652174,5,1,0,21,21,25,3.884278806542544,0.3231013855699918,0.9440150177133008,0.0004686921977685,0.1212970852112251,CYP1A2,0.0114528122358024,0.0005831248126924,0.01086968742311,0.0120359370484948,1.0,0.975,0.4578563308370781,5.046927207,4.8496825,5.211427,0.09099052982
OCNT-2312299,Nc1nc(C(=O)NCCCOc2ccc(F)cc2)c(-c2ccccc2)s1,O=C(NCCCOc1ccccc1)c1ncsc1-c1ccccc1,26,28,371.43700000000007,3.7303000000000033,77.24,2,5,7,3,3,0.1578947368421052,0.6538461538461539,0.2692307692307692,0,3,0.0861538461538461,2.1538461538461537,0.3609467455621301,2.421924546007706,0.0241682086621039,5.058829115269724,16.0,6.2215384615384615,10,1,0,17,17,23,4.9236143839603805,0.6217609526466347,0.9890655392512244,0.0006681297859928,0.0875667785495785,CYP1A2,0.0123336194083094,9.277835488319395e-06,0.0123243415728211,0.0123428972437977,1.0,0.9875,0.4417745580032823,5.178202748,5.0401545,5.291864,0.06347429593
OCNT-2318024,CC1CN(C(=O)NCC2CCOc3ccccc32)Cc2ccccc2O1,O=C(NCC1CCOc2ccccc21)N1CCOc2ccccc2C1,26,29,352.4340000000001,3.5454000000000025,50.80000000000001,1,3,2,4,2,0.3809523809523809,0.4615384615384615,0.1923076923076923,0,4,0.0892307692307692,2.230769230769231,0.3313609467455621,2.390814355666593,0.0322575992630332,5.0344106081238,13.0,5.372307692307692,16,1,0,12,23,17,4.373623962235334,0.6250505036091691,0.9891249711511184,0.0010025601888983,0.161536772984915,CYP1A2,0.0125559396110475,5.802558735013008e-05,0.0124979140236973,0.0126139651983976,1.0,0.99,0.4408117210596663,4.42591923,4.153679,4.8327245,0.1702473289
OCNT-2312312,NC(=O)C1(c2ccccc2)CCN(Cc2coc(-c3ccc(Cl)cc3)n2)C1,c1ccc(-c2nc(CN3CCC(c4ccccc4)C3)co2)cc1,27,30,381.863,3.6240000000000014,72.36000000000001,1,4,5,4,3,0.238095238095238,0.6296296296296297,0.2222222222222222,0,4,0.0854700854700854,2.2222222222222223,0.4691358024691358,2.4972751871430705,0.0318753459794884,5.580334626146804,15.0,5.720797720797721,12,1,0,17,22,20,4.848295254603127,0.6348222402560726,0.9897155699211244,0.0007887397653038,0.2510766278277587,CYP1A2,0.0126103339716792,0.0004307180643081,0.012179615907371,0.0130410520359873,1.0,0.98,0.4397485923212758,5.232058398,5.06312625,5.36816125,0.07684076528
