case_id,visual_rank,transition_rule,molecule_id,cyp_target,atoms,channels,frames,burn_in,late_motion,late_amplitude,pca_variance_3d,correlation_dimension,rosenstein_slope,recurrence_recurrence_threshold,recurrence_recurrence_rate,recurrence_determinism,recurrence_laminarity,recurrence_longest_diagonal,recurrence_mean_diagonal,spectral_entropy,spectral_concentration,dominant_period,secondary_period,classification
01_gated_residual_OCNT-2328519_CYP1A2,1,gated_residual,OCNT-2328519,CYP1A2,15,16,5001,1000,2.1431116117021426e-06,3.303798678640617e-06,0.9640730023384094,1.3386463378042326,0.0563771021026373,1.6224279403686523,0.05000051066785142,0.6136530762317183,0.05433450445297818,194,3.749625561657514,0.19480545492213686,0.6963598107895245,16.004,8.002,chaotic or complex-transient candidate
02_gated_residual_OCNT-2318673_CYP2D6,2,gated_residual,OCNT-2318673,CYP2D6,30,16,5001,1000,1.4541238562461218e-06,8.569287704280983e-07,0.8395223021507263,1.3108636830952711,0.012876284511043369,1.5112336874008179,0.05000051066785142,0.672277146825721,0.04640902034479941,235,9.795238095238096,0.32741926265527943,0.3112302555650383,2.999250374812594,2.0005,quasiperiodic candidate
03_delayed_memory_OCNT-0494638_CYP2C9,3,delayed_memory,OCNT-0494638,CYP2C9,28,16,5001,1000,6.47570651365682e-07,1.886448466284671e-06,0.7273938655853271,2.549092094369042,0.007913637849250256,1.5574673414230347,0.05000051066785142,0.7065528229430509,0.825639349620067,27,2.838037413849688,0.371763971716203,0.5731113737315667,266.73333333333335,71.44642857142857,quasiperiodic candidate
04_delayed_memory_OCNT-2312208_CYP2D6,4,delayed_memory,OCNT-2312208,CYP2D6,22,16,5001,1000,3.2897274811077855e-07,4.272003595853648e-07,0.9171101450920105,2.737291742203133,0.060275275983061816,1.5884754657745361,0.05001072402487974,0.6986071968304538,0.0034309520892047544,749,5.9101589495507945,0.23185885211426024,0.5932319250871111,25.00625,2.749828178694158,quasiperiodic candidate
05_inertial_reaction_diffusion_OCNT-2312382_CYP1A2,5,inertial_reaction_diffusion,OCNT-2312382,CYP1A2,23,8,5001,1000,1.8629941457209244e-06,0.0012960597821100857,0.9987426400184631,1.0934129039507319,-0.0004932415032958752,0.4832654297351837,0.05000051066785142,1.0,0.9996731759130648,839,220.52252252252254,0.2888614673524916,0.452368246018193,4001.0,2000.5,periodic candidate
06_inertial_reaction_diffusion_OCNT-2315030_CYP2D6,6,inertial_reaction_diffusion,OCNT-2315030,CYP2D6,26,8,5001,1000,7.209780526903032e-07,0.0006090041841336656,0.9999909996986389,0.7198353489120524,-0.0002633025111822453,0.5256652235984802,0.05000051066785142,0.9999182939782661,0.998733556663126,553,108.78222222222222,0.299688068540806,0.3930709636737393,4001.0,2000.5,periodic candidate
07_kuramoto_sakaguchi_OCNT-0494110_CYP2C9,7,kuramoto_sakaguchi,OCNT-0494110,CYP2C9,20,16,5001,1000,0.021021531941917634,0.6862445168021547,0.17983542382717133,4.445599087140513,0.009529136571102152,2.002516746520996,0.05000051066785142,0.9982841735435901,0.9968338916578152,116,16.20424403183024,0.4553389641643343,0.0715734560442826,166.70833333333334,181.86363636363637,quasiperiodic candidate
08_kuramoto_sakaguchi_OCNT-2328784_CYP1A2,8,kuramoto_sakaguchi,OCNT-2328784,CYP1A2,15,16,5001,1000,0.019173732888056287,0.6893358534013858,0.18430468440055847,4.823524241067549,0.016471437422333403,2.034287691116333,0.05000051066785142,0.9955061688046409,0.9961393904730779,92,8.909689213893968,0.45029244079617586,0.07573268061204885,266.73333333333335,181.86363636363637,quasiperiodic candidate
09_fitzhugh_nagumo_OCNT-2328824_CYP2D6,9,fitzhugh_nagumo,OCNT-2328824,CYP2D6,33,8,5001,1000,7.11570177492005e-07,1.4000311640245858e-05,0.9924720525741577,1.5835527498559372,0.007937605486941902,0.11203445494174957,0.05000051066785142,0.7472015687556173,0.0,118,3.4353869271224644,0.4406525634100296,0.15127612189423728,4001.0,2000.5,quasiperiodic candidate
10_fitzhugh_nagumo_OCNT-2309705_CYP3A4,10,fitzhugh_nagumo,OCNT-2309705,CYP3A4,22,8,5001,1000,1.0903990299101859e-07,2.3724637148609834e-05,0.999372661113739,1.114020963333515,-0.0033806128061334663,0.12220817059278488,0.050310996721512395,0.9927324401136824,0.1340235485180674,246,7.143149284253579,0.45253749546225003,0.13325142958265696,4001.0,2000.5,quasiperiodic candidate
