epoch,train_rmse,validation_rmse,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.210234841748962,0.9088041186332703,17.292411112016246,1.0
2,1.2112715411938069,0.9115641117095947,13.515051672535558,1.0
3,1.2004123168235694,0.9164548516273499,16.368639807547293,1.0
4,1.248687871355926,0.9011929631233215,23.356353329073997,1.0
5,1.2706565003108374,0.9110355377197266,18.291875085523053,1.0
6,1.2591068864906587,0.8993436694145203,16.613490996822232,1.0
7,1.205455097312906,0.8970346450805664,15.259479661141672,1.0
8,1.1762767987242437,0.8981659412384033,12.231177637653966,1.0
9,1.1301845500532968,0.8969104290008545,11.969753742218018,1.0
10,1.1473794144845852,0.8963682651519775,14.730812826464254,1.0
