epoch,train_rmse,validation_rmse,mean_raw_gradient_norm,fraction_gradients_clipped
1,2.232940701313408,0.9388656616210938,5894.6563349385415,1.0
2,1.1766666161544357,0.9379876852035522,351.53623099480905,1.0
3,8.914711397602161,0.9427254796028137,21759.45741665748,1.0
4,1.271084986373493,0.9479783177375793,356.8369228609147,1.0
5,1.1250153174817783,0.9298517107963562,225.03822698900777,1.0
6,1.2133531799949324,0.9337245225906372,247.23999363376248,1.0
7,1.111976082841012,0.9325158596038818,433.5020955608737,1.0
8,1.2331842538558548,0.9278199672698975,291.4304721278529,1.0
9,1.0921395496451385,0.9230226278305054,30.49247297933025,1.0
10,4.655915215481846,0.9169474840164185,4499.478899632731,1.0
