epoch,train_rmse,validation_rmse,validation_ma_st_rae,validation_CYP1A2_st_rae,validation_CYP2C9_st_rae,validation_CYP2D6_st_rae,validation_CYP3A4_st_rae,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.098841711797835,0.9003636240959167,0.8410863898135258,0.8643107506867592,0.8061829219088685,1.0529611376975676,0.6408907489609078,10.940465442595944,1.0
2,1.073347650590081,0.9008567333221436,0.8452426254152985,0.8629974972044027,0.8160347877085389,1.0649556845198351,0.6369825322284177,8.41782186877343,1.0
3,1.0287187943961167,0.8956354260444641,0.838328260827572,0.8542029389155984,0.8059466896564127,1.0666782349915,0.6264851797467765,6.011426110421458,1.0
4,1.2792026655935596,0.8915134072303772,0.8321561945334759,0.852907983976449,0.7948131055578725,1.0622996681966497,0.6186040204029322,12.267510814051475,1.0
5,1.0384295419688756,0.8900848627090454,0.8301032953703642,0.8417430736344891,0.794281588061902,1.066764500447833,0.6176240193372329,6.359938721502981,1.0
6,1.022122484068057,0.8856767416000366,0.8203441542365243,0.8318974966403492,0.7842352378822443,1.0533768204042322,0.6118670620192717,6.0171676912615375,1.0
7,0.9735428273545599,0.8842924237251282,0.8193624655087864,0.8282259489105493,0.7842216585521534,1.052366584057913,0.6126356705145298,6.248589600286176,1.0
8,1.0470216738132332,0.8838127255439758,0.8191402782874551,0.8317711268375798,0.7852988563256966,1.0498612662788014,0.6096298637077426,9.354884693699498,1.0
9,1.001404935710079,0.8824406862258911,0.8166071316579511,0.8293283638080274,0.7869150714871389,1.04364533664745,0.6065397546891877,6.025793583162369,1.0
10,0.9842474505603656,0.8819786906242371,0.8138194249621559,0.8300808470810945,0.7793606420735539,1.0428532976367397,0.6029829130572354,5.771502717848747,1.0
11,0.9603406159078832,0.8813121914863586,0.8130622858889645,0.830479207603889,0.7773803810938471,1.0426524378140396,0.6017371170440822,5.25804901892139,1.0
12,1.0197183718474767,0.8821022510528564,0.8141889898375705,0.8282254806583573,0.7815077357560393,1.041549602843541,0.6054731400923448,6.855988602484426,1.0
13,1.0587459122580443,0.8813564777374268,0.8134002846001723,0.8293082675651895,0.7804239382640249,1.0393608771732386,0.6045080553982366,10.229021264660743,1.0
14,1.0453425537252938,0.8808490037918091,0.8136529701744014,0.8319773512758998,0.7807245495420012,1.0380018057087395,0.6039081741709649,8.51671019677193,1.0
15,1.0053557340885813,0.8808780312538147,0.8139672007995735,0.8327542421355673,0.781009125033129,1.0381043489512296,0.604001087078368,6.84146697290482,1.0
