epoch,train_rmse,validation_rmse,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.2082552269017015,0.9106525182723999,10.592559614489156,1.0
2,1.1425362641021948,0.9062941074371338,9.055787805588015,1.0
3,1.094282814145049,0.9040980935096741,8.536471755273881,1.0
4,1.1641517695791848,0.904676079750061,9.118239033606745,1.0
5,1.130227186698514,0.9022812843322754,7.403337182537202,1.0
6,1.1056932400341088,0.902262270450592,7.375870939223997,1.0
7,1.0819764025242802,0.8985369801521301,7.260444052757755,1.0
8,1.098868505621581,0.8948864340782166,7.109501019600899,1.0
9,1.0787859151411374,0.893115222454071,8.76735004301994,1.0
10,1.2117625796480775,0.8903663158416748,10.779928814980291,1.0
