test_index,molecule_id,cyp_index,cyp_target,predicted_pic50,late_motion,final_step,late_amplitude,best_recurrence_lag,recurrence_ratio,recurrence_distance,curvature,spectral_concentration,selected_for_visualisation,selection_reason
0,OCNT-0010024,0,CYP1A2,4.714767932891846,0.0017484364798292518,0.0007006280357018113,0.008377594873309135,32,0.9722031585010131,0.05439504608511925,0.0008231157553382218,0.5666646113530432,False,
0,OCNT-0010024,1,CYP2C9,4.1959638595581055,0.0026028717402368784,0.001499114092439413,0.012405851855874062,32,0.8982275483282066,0.07481536269187927,0.00023654193500988185,0.5737102038336376,False,
0,OCNT-0010024,2,CYP2D6,4.001632213592529,0.0011488834861665964,0.00030716712353751063,0.004573452286422253,32,0.6877592552402669,0.025285188108682632,0.0011479438981041312,0.641642616072365,False,
0,OCNT-0010024,3,CYP3A4,2.8197708129882812,0.004135614726692438,0.0012532175751402974,0.023157233372330666,32,0.9170840543746113,0.12136689573526382,0.0004479487834032625,0.5385246972129075,False,
1,OCNT-0491471,0,CYP1A2,4.123815536499023,0.00309574487619102,0.0002180118317482993,0.012104293331503868,32,0.8233277202943802,0.08156226575374603,0.0004077309858985245,0.49426490728382844,False,
1,OCNT-0491471,1,CYP2C9,4.1752543449401855,0.0021886820904910564,0.0008252327679656446,0.009768202900886536,32,0.8999862925789389,0.06303337216377258,0.00033796465140767395,0.49974789229538963,False,
1,OCNT-0491471,2,CYP2D6,4.6505022048950195,0.0010726297041401267,0.00021569713135249913,0.004410209134221077,32,0.6727248726476455,0.023090925067663193,0.0015833197394385934,0.5404397262078419,False,
1,OCNT-0491471,3,CYP3A4,3.82649827003479,0.0024265567772090435,0.0010016430169343948,0.009976333007216454,32,0.8351537289567829,0.06484980136156082,0.00025037743034772575,0.48018829477370584,False,
2,OCNT-0493952,0,CYP1A2,5.533265590667725,0.0007365915225818753,0.0006096396828070283,0.0029478759970515966,32,0.7383154763803452,0.017403017729520798,0.000575425976421684,0.47588233239132854,False,
2,OCNT-0493952,1,CYP2C9,5.317888259887695,0.0009650711435824633,0.0002507499884814024,0.004219731781631708,32,0.9951156238856972,0.03073175437748432,0.0006763022975064814,0.6304559063540849,False,
2,OCNT-0493952,2,CYP2D6,4.549103736877441,0.0009960542665794492,0.00012250601139385253,0.0038237322587519884,32,0.6319202091793807,0.020141860470175743,0.0013886184897273779,0.5597275389359686,False,
2,OCNT-0493952,3,CYP3A4,5.035457611083984,0.0012314567575231194,0.00034217556822113693,0.005942968651652336,2,1.002632588805267,0.002469417406246066,0.00040354602970182896,0.6286565019747663,False,
3,OCNT-0495173,0,CYP1A2,4.8675079345703125,0.0010418592719361186,0.001096872496418655,0.004045955371111631,32,0.6623200313070482,0.022081628441810608,0.0007470836862921715,0.45080402531405817,False,
