object,molecule_id,cyp_target,predicted_pic50,pdb_file,activity_min,activity_max,states,selection_reason
traj_01_CYP2D6,OCNT-2535274,CYP2D6,4.787167549133301,trajectories/01_OCNT-2535274_CYP2D6.pdb,0.5497827529907227,1.7253044843673706,102,recurrence
traj_02_CYP2C9,OCNT-2535494,CYP2C9,5.092191696166992,trajectories/02_OCNT-2535494_CYP2C9.pdb,0.5542111396789551,1.5583769083023071,102,spectral
traj_03_CYP2D6,OCNT-2535654,CYP2D6,4.618088722229004,trajectories/03_OCNT-2535654_CYP2D6.pdb,0.5338094234466553,1.7253044843673706,102,curved
traj_04_CYP1A2,OCNT-2535122,CYP1A2,3.0527310371398926,trajectories/04_OCNT-2535122_CYP1A2.pdb,0.5542111396789551,1.3862792253494263,102,persistent
traj_05_CYP2D6,OCNT-2535269,CYP2D6,4.743620872497559,trajectories/05_OCNT-2535269_CYP2D6.pdb,0.5497827529907227,1.7253044843673706,102,recurrence
traj_06_CYP2C9,OCNT-2535328,CYP2C9,4.950563430786133,trajectories/06_OCNT-2535328_CYP2C9.pdb,0.5542111396789551,1.7253044843673706,102,spectral
traj_07_CYP2C9,OCNT-2534867,CYP2C9,5.170529365539551,trajectories/07_OCNT-2534867_CYP2C9.pdb,0.5271333456039429,1.4491618871688843,102,curved
traj_08_CYP1A2,OCNT-2535623,CYP1A2,3.187413454055786,trajectories/08_OCNT-2535623_CYP1A2.pdb,0.5542111396789551,1.3561313152313232,102,persistent
traj_09_CYP2D6,OCNT-2535502,CYP2D6,4.828529357910156,trajectories/09_OCNT-2535502_CYP2D6.pdb,0.5497827529907227,1.7253044843673706,102,recurrence
traj_10_CYP2D6,OCNT-2535135,CYP2D6,4.156910419464111,trajectories/10_OCNT-2535135_CYP2D6.pdb,0.5210509896278381,1.405304193496704,102,spectral
traj_11_CYP2D6,OCNT-2535770,CYP2D6,4.442050457000732,trajectories/11_OCNT-2535770_CYP2D6.pdb,0.5336846709251404,1.7253044843673706,102,curved
traj_12_CYP1A2,OCNT-2534843,CYP1A2,3.711557626724243,trajectories/12_OCNT-2534843_CYP1A2.pdb,0.5542111396789551,1.7253044843673706,102,persistent
traj_13_CYP2D6,OCNT-2535662,CYP2D6,4.67645788192749,trajectories/13_OCNT-2535662_CYP2D6.pdb,0.5871002078056335,1.4661465883255005,102,recurrence
traj_14_CYP2D6,OCNT-2535134,CYP2D6,4.1569108963012695,trajectories/14_OCNT-2535134_CYP2D6.pdb,0.5210509896278381,1.405304193496704,102,spectral
traj_15_CYP2C9,OCNT-2535769,CYP2C9,5.168101787567139,trajectories/15_OCNT-2535769_CYP2C9.pdb,0.5271333456039429,1.7253044843673706,102,curved
traj_16_CYP1A2,OCNT-2535578,CYP1A2,3.06376314163208,trajectories/16_OCNT-2535578_CYP1A2.pdb,0.5542111396789551,1.3582937717437744,102,persistent
traj_17_CYP2D6,OCNT-2535665,CYP2D6,4.67645263671875,trajectories/17_OCNT-2535665_CYP2D6.pdb,0.5871040225028992,1.4661465883255005,102,recurrence
traj_18_CYP2C9,OCNT-2311186,CYP2C9,4.8091044425964355,trajectories/18_OCNT-2311186_CYP2C9.pdb,0.5542111396789551,1.4491618871688843,102,spectral
traj_19_CYP2C9,OCNT-2535101,CYP2C9,4.597350597381592,trajectories/19_OCNT-2535101_CYP2C9.pdb,0.5542111396789551,1.4661465883255005,102,curved
traj_20_CYP1A2,OCNT-2535357,CYP1A2,3.275099277496338,trajectories/20_OCNT-2535357_CYP1A2.pdb,0.5542111396789551,1.4661465883255005,102,persistent
