epoch,train_rmse,validation_rmse,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.0899929054694615,0.9424195885658264,14.40434552777198,1.0
2,1.1851673753181822,0.9315690994262695,16.091444077030307,1.0
3,1.0289477488189307,0.9333781599998474,11.249840305697534,1.0
4,1.0698884286638222,0.9373738169670105,15.251259619189847,1.0
5,1.0438356727350275,0.9320945143699646,12.069021194211897,1.0
6,1.071433439711698,0.9152476191520691,13.30532939972416,1.0
7,1.0200341796054964,0.9134083986282349,12.150611677477437,1.0
8,1.022691690245263,0.9126892685890198,9.047159248782743,1.0
9,1.0239137314090685,0.9115754961967468,10.106373802308113,1.0
10,1.019548716002496,0.9093548655509949,10.755272050057687,1.0
