epoch,train_rmse,validation_rmse,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.3001579037276092,0.905815839767456,18.742573745789066,1.0
2,1.3454682667257483,0.8986638784408569,18.964696768791445,1.0
3,1.3375499595529539,0.898578405380249,22.115573183182747,1.0
4,1.1763529315273684,0.8902397751808167,14.25721073919727,1.0
5,1.20183268055445,0.8850944638252258,14.110093793561381,1.0
6,1.1338775771677976,0.880852997303009,12.57928128011765,1.0
7,1.225449282626305,0.8810244798660278,13.54929058782516,1.0
8,1.1574128991089987,0.8800751566886902,14.611328290354821,1.0
9,1.1837741922039466,0.8797088861465454,12.800637387460277,1.0
10,1.2001588659915927,0.8790531754493713,13.330197241998487,1.0
