epoch,train_rmse,validation_rmse,mean_raw_gradient_norm,fraction_gradients_clipped
1,2.3816760699130253,0.9096555113792419,194.77582334703015,1.0
2,1.9450725635919035,0.9058981537818909,91.8106321519421,1.0
3,2.2193084642419816,0.9102151989936829,141.1819822249874,1.0
4,2.0126226211069316,0.9147121906280518,87.08655311215308,1.0
5,1.8251027482893543,0.8911665678024292,74.7156384529606,1.0
6,1.9596330684959948,0.8818600177764893,77.3713596943886,1.0
7,1.829910563600955,0.8856294751167297,57.65684432368125,1.0
8,1.6332908785377893,0.8876467943191528,40.33460403257801,1.0
9,1.7556868563183567,0.8816558718681335,47.06240841650194,1.0
10,1.9533155190704106,0.8811253905296326,75.80380748164269,1.0
